M|M40-44|SBD|Sleeves|100|S,295,Harri Vakkinen-Huhta,26.10.2024,Juva,
M|M40-44|SBD|Raw|100|D,291,Harri Vakkinen-Huhta,26.10.2024,Juva,
M|M40-44|SBD|Sleeves|100|SBD,757.5,Harri Vakkinen-Huhta,26.10.2024,Juva,
M|T13-15|SBD|Single-ply|60|S,140,Miika Pesonen,26.10.2024,Juva,
M|T13-15|SBD|Single-ply|60|B,67.5,Miika Pesonen,26.10.2024,Juva,
M|T13-15|SBD|Single-ply|60|D,170,Miika Pesonen,26.10.2024,Juva,
M|T13-15|SBD|Single-ply|60|SBD,377.5,Miika Pesonen,26.10.2024,Juva,
F|Open|SBD|Sleeves|82.5|S,175,Essi Jäntti,26.10.2024,Juva,
F|Open|SBD|Sleeves|82.5|SBD,490,Essi Jäntti,26.10.2024,Juva,
M|Open|SBD|Sleeves|82.5|SBD,742.5,Emil Karjalainen,26.10.2024,Juva,
M|Open|SBD|Sleeves|125|S,320.5,Iiro Jokipalo,26.10.2024,Juva,
M|Open|SBD|Sleeves|100|S,320,Eetu Sieppi,26.10.2024,Juva,
M|Open|SBD|Sleeves|100|SBD,855,Eetu Sieppi,26.10.2024,Juva,
F|M50-54|SBD|Raw|75|D,130,Jenni Nenonen,26.10.2024,Juva,
F|M50-54|SBD|Sleeves|75|SBD,292.5,Jenni Nenonen,26.10.2024,Juva,
M|M40-44|SBD|Sleeves|110|SBD,800,Jari Koskinen,26.10.2024,Juva,
F|Open|D|Multi-ply|75|D,215,Eija Pesonen,26.10.2024,Juva,
M|M60-64|B|Raw|82.5|B,143,Ari-Pekka Airaksinen,26.10.2024,Juva,
M|M60-64|B|Single-ply|100|B,191,Marcus Young,26.10.2024,Juva,
