F|Open|SBD|Multi-ply|75|S,280,Emma Lahti,7.6.2025,Kokkola,
F|Open|SBD|Multi-ply|75|B,170,Emma Lahti,7.6.2025,Kokkola,
F|Open|SBD|Multi-ply|75|D,250,Emma Lahti,7.6.2025,Kokkola,
F|Open|SBD|Multi-ply|75|SBD,700.0,Emma Lahti,7.6.2025,Kokkola,
F|T18-19|SBD|Multi-ply|82.5|D,160,Milla Kumpula,7.6.2025,Kokkola,
F|T18-19|SBD|Multi-ply|82.5|SBD,400.0,Milla Kumpula,7.6.2025,Kokkola,
M|T18-19|SBD|Sleeves|75|S,145,Lauri Valkama,7.6.2025,Kokkola,
M|Open|SBD|Wraps|82.5|S,317.5,Emil Karjalainen,7.6.2025,Kokkola,
M|Open|SBD|Wraps|82.5|SBD,800.0,Emil Karjalainen,7.6.2025,Kokkola,
M|T16-17|D|Raw|125|D,280,Joona Ahvenlampi,7.6.2025,Kokkola,
