M|M40-44|SBD|Multi-ply|82.5|S,354,Sakari Selkäinaho,26.8.2012,Cincinnati,
M|M40-44|SBD|Multi-ply|82.5|SBD,818,Sakari Selkäinaho,26.8.2012,Cincinnati,1805 lbs
M|M40-44|SBD|Multi-ply|110|S,425,Sami Kaipio,28.4.2012,Lahti,
M|M40-44|B|Raw|82.5|B,170,Jan Lindqvist,5.5.2012,Riihikoski,
F|M40-44|B|Raw|67.5|B,91,Virpi Knuutila,8.6.2012,Naantali,
M|M45-49|B|Raw|140|B,230,Veikko Yli-Rajala,8.6.2012,Naantali,
M|M45-49|B|Raw|SHW|B,222.5,Veikko Yli-Rajala,27.5.2012,,
M|M55-59|B|Raw|90|B,172.5,Jouko Kourumäki,17.3.2012,Turku,
M|M55-59|B|Raw|140|B,100,Valdur Paavilainen,28.10.2012,Forssa,
M|M70-74|B|Raw|52|B,40,Heino Välimaa,5.5.2012,Riihikoski,
M|M70-74|B|Raw|56|B,46,Heino Välimaa,10.6.2012,Naantali,
M|M70-74|B|Raw|60|B,47.5,Heino Välimaa,2.9.2012,Forssa,
M|Open|B|Multi-ply|60|B,160,Jonne Fräntilä,15.12.2012,Juva,
M|Open|B|Multi-ply|SHW|B,420,Jani Murtomäki,9.9.2012,Lahti,
M|M45-49|D|Raw|140|D,285,Veikko Yli-Rajala,8.6.2012,Naantali,
M|M70-74|D|Raw|52|D,95,Heino Välimaa,5.5.2012,Riihikoski,
M|M70-74|D|Raw|56|D,102.5,Heino Välimaa,10.6.2012,Naantali,
M|M70-74|D|Raw|60|D,90,Heino Välimaa,2.9.2012,Forssa,
M|Open|D|Multi-ply|110|D,370,Juha Someroja,15.3.2012,Rovaniemi,
