M|Open|SBD|Multi-ply|75|D,297.5,Jarmo Laine,12.8.2001,Orlando,
F|Open|B|Multi-ply|82.5|B,140,Tarja Rantanen,8.12.2001,Helsinki,
F|M40-44|B|Multi-ply|82.5|B,140,Tarja Rantanen,8.12.2001,Helsinki,
