M|Open|SBD|Multi-ply|75|B,200,Toni Haaparanta,8.9.2010,Praha,
M|Open|SBD|Multi-ply|100|B,342.5,Juha Someroja,13.3.2010,Lahti,
M|Open|SBD|Multi-ply|100|SBD,1102.5,Juha Someroja,13.3.2010,Lahti,
F|Open|SBD|Multi-ply|82.5|S,245,Satu Kalmi,12.6.2010,Valkeakoski,
F|Open|SBD|Multi-ply|82.5|SBD,532.5,Satu Kalmi,12.6.2010,Valkeakoski,
M|J20-23|SBD|Multi-ply|67.5|S,185,Jonne Fräntilä,12.6.2010,Valkeakoski,
M|J20-23|SBD|Multi-ply|67.5|B,145,Jonne Fräntilä,12.6.2010,Valkeakoski,
M|J20-23|SBD|Multi-ply|67.5|D,190,Jonne Fräntilä,12.6.2010,Valkeakoski,
M|J20-23|SBD|Multi-ply|67.5|SBD,520,Jonne Fräntilä,12.6.2010,Valkeakoski,
M|M40-44|SBD|Multi-ply|82.5|B,225,Sakari Selkäinaho,20.8.2010,Sharonville,
M|M40-44|SBD|Multi-ply|100|S,420.5,Sami Kaipio,12.6.2010,Valkeakoski,
M|M40-44|SBD|Multi-ply|110|B,275,Pauli Rantanen,9.10.2010,Helsinki,
M|M40-44|SBD|Multi-ply|110|D,330,Pauli Rantanen,9.10.2010,Helsinki,
M|M40-44|SBD|Multi-ply|110|SBD,1015,Pauli Rantanen,9.10.2010,Helsinki,
M|Open|B|Raw|90|B,230,Tommi Pitkänen,14.5.2010,Moskova,
F|Open|B|Multi-ply|67.5|B,170,Anne Heikkilä,2.11.2010,Tampere,
F|Open|B|Multi-ply|75|B,162.5,Anne Heikkilä,?.12.2010,Helsinki,
M|J20-23|B|Multi-ply|SHW|B,325,Otto Selin,6.11.2010,Mikkeli,
M|M40-44|D|Multi-ply|110|D,340,Olavi Rintanen,4.4.2010,Kauhajoki,
