M|Open|SBD|Multi-ply|60|S,250.5,Petri Pietikäinen,28.3.2009,Juva,
M|Open|SBD|Multi-ply|60|B,156,Petri Pietikäinen,28.3.2009,Juva,
M|Open|SBD|Multi-ply|60|SBD,612.5,Petri Pietikäinen,28.3.2009,Juva,
M|Open|SBD|Multi-ply|SHW|B,387.5,Jani Murtomäki,22.8.2009,"Sharonville, USA",
M|Open|SBD|Multi-ply|SHW|SBD,1205,Jani Murtomäki,3.10.2009,Lahti,
M|J20-23|SBD|Multi-ply|60|S,250.5,Petri Pietinen,28.3.2009,Juva,
M|J20-23|SBD|Multi-ply|60|B,156,Petri Pietinen,28.3.2009,Juva,
M|J20-23|SBD|Multi-ply|60|D,216,Petri Pietinen,28.3.2009,Juva,
M|J20-23|SBD|Multi-ply|60|SBD,612.5,Petri Pietinen,28.3.2009,Juva,
M|J20-23|SBD|Multi-ply|75|S,260,Jani Lantiainen,14.5.2009,Bardejov (Slovakia),
M|J20-23|SBD|Multi-ply|75|D,258,Jani Lantiainen,14.5.2009,Bardejov,
M|J20-23|SBD|Multi-ply|75|SBD,682.5,Jani Lantiainen,14.5.2009,Bardejov,
M|J20-23|SBD|Multi-ply|125|D,340,Juha Mentula,4.4.2009,Lahti,
