M|Open|SBD|Wraps|82.5|S,285,Joonas Vepsäläinen,1.12.2019,Tampere,
M|Open|SBD|Wraps|82.5|SBD,755,Joonas Vepsäläinen,1.12.2019,Tampere,
M|Open|SBD|Wraps|90|S,390.5,Kalle Räsänen,25.5.2019,Savonlinna,
M|Open|SBD|Wraps|90|SBD,925.5,Kalle Räsänen,25.5.2019,Savonlinna,
M|Open|SBD|Wraps|100|S,360,Kalle Räsänen,2.2.2019,Laitila,
M|Open|SBD|Wraps|100|SBD,870,Kalle Räsänen,2.2.2019,Laitila,
M|Open|SBD|Wraps|110|S,425,Eduard Khanjyan,28.4.2019,Paimio,
M|Open|SBD|Wraps|125|S,405,Eduard Khanjyan,17.3.2019,"Melbourne, Australia",
M|Open|SBD|Wraps|125|SBD,990,Eduard Khanjyan,17.3.2019,"Melbourne, Australia",
F|Open|SBD|Wraps|60|S,170,Camilla Rauhala,27.4.2019,Paimio,
F|Open|SBD|Wraps|60|SBD,430,Camilla Rauhala,27.4.2019,Paimio,
F|Open|SBD|Wraps|SHW|S,195,Anna Khudayarov,2.2.2019,Laitila,
F|Open|SBD|Wraps|SHW|SBD,562.5,Anna Khudayarov,2.2.2019,Laitila,
M|T13-15|SBD|Wraps|75|S,140,Tomi Reijonen,14.12.2019,Savonlinna,
M|T13-15|SBD|Wraps|75|SBD,385,Tomi Reijonen,14.12.2019,Savonlinna,
F|T13-15|SBD|Wraps|67.5|S,63,Ada Ritamäki,25.5.2019,Savonlinna,
F|T13-15|SBD|Wraps|67.5|SBD,191.5,Ada Ritamäki,25.5.2019,Savonlinna,
F|T18-19|SBD|Wraps|56|S,102.5,Pinja Dillström,14.12.2019,Savonlinna,
F|T18-19|SBD|Wraps|56|SBD,287.5,Pinja Dillström,14.12.2019,Savonlinna,
M|J20-23|SBD|Wraps|100|S,325,Joona Leppäjärvi,28.4.2019,Paimio,
M|J20-23|SBD|Wraps|110|S,305,Antti Pirttijärvi,28.4.2019,Paimio,
F|M40-44|SBD|Wraps|60|S,170,Camilla Rauhala,24.7.2019,Paimio,
F|M40-44|SBD|Wraps|60|SBD,430,Camilla Rauhala,24.7.2019,Paimio,
F|M45-49|SBD|Wraps|SHW|S,162.5,Päivi Kaarto,24.7.2019,Paimio,
F|M45-49|SBD|Wraps|SHW|SBD,492.5,Päivi Kaarto,24.7.2019,Paimio,
F|M60-64|SBD|Wraps|75|S,110,Maiju Hilander,24.7.2019,Paimio,
F|M60-64|SBD|Wraps|75|SBD,335,Maiju Hilander,24.7.2019,Paimio,
M|Open|SBD|Raw|82.5|B,190,Joonas Vepsäläinen,1.12.2019,Tampere,
M|Open|SBD|Raw|90|D,350,Kalle Räsänen,28.4.2019,Paimio,
M|Open|SBD|Raw|100|B,210,Teemu Hakala,28.4.2019,Paimio,
M|Open|SBD|Raw|100|D,340,Kalle Räsänen,2.2.2019,Laitila,
M|Open|SBD|Raw|110|B,245,Jani-Pekka Eirala,25.5.2019,Savonlinna,
M|Open|SBD|Raw|125|D,355,Eduard Khanjyan,17.3.2019,"Melbourne, Australia",
F|Open|SBD|Raw|60|B,93,Camilla Rauhala,27.4.2019,Paimio,
F|Open|SBD|Raw|60|D,170,Camilla Rauhala,27.4.2019,Paimio,
F|Open|SBD|Raw|SHW|B,147.5,Anna Khudayarov,2.2.2019,Laitila,
F|T13-15|SBD|Raw|67.5|B,38.5,Ada Ritamäki,25.5.2019,Savonlinna,
F|T13-15|SBD|Raw|67.5|D,90,Ada Ritamäki,25.5.2019,Savonlinna,
F|T18-19|SBD|Raw|56|B,50,Pinja Dillström,14.12.2019,Savonlinna,
F|T18-19|SBD|Raw|56|D,135,Pinja Dillström,14.12.2019,Savonlinna,
M|M40-44|SBD|Raw|100|D,250,Toni Hentula,27.4.2019,Paimio,
F|M40-44|SBD|Raw|60|B,93,Camilla Rauhala,24.7.2019,Paimio,
F|M40-44|SBD|Raw|60|D,170,Camilla Rauhala,24.7.2019,Paimio,
F|M45-49|SBD|Raw|SHW|B,120,Päivi Kaarto,24.7.2019,Paimio,
F|M45-49|SBD|Raw|SHW|D,210,Päivi Kaarto,24.7.2019,Paimio,
F|M60-64|SBD|Raw|75|B,65,Maiju Hilander,24.7.2019,Paimio,
F|M60-64|SBD|Raw|75|D,160,Maiju Hilander,24.7.2019,Paimio,
M|Open|SBD|Multi-ply|90|D,373.5,Kalle Räsänen,14.12.2019,Savonlinna,
M|Open|SBD|Multi-ply|100|S,465,Oskari Lehtinen,25.5.2019,Savonlinna,
F|Open|SBD|Multi-ply|52|S,255,Marianne Kosonen,25.5.2019,Savonlinna,
F|Open|SBD|Multi-ply|52|B,155,Marianne Kosonen,25.5.2019,Savonlinna,
F|Open|SBD|Multi-ply|52|D,210,Marianne Kosonen,25.5.2019,Savonlinna,
F|Open|SBD|Multi-ply|52|SBD,613,Marianne Kosonen,25.5.2019,Savonlinna,
F|Open|SBD|Multi-ply|56|S,240,Marianne Kosonen,21.9.2019,"Limerick, Irlanti",
F|Open|SBD|Multi-ply|56|B,150,Marianne Kosonen,21.9.2019,"Limerick, Irlanti",
F|Open|SBD|Multi-ply|56|D,212.5,Marianne Kosonen,21.9.2019,"Limerick, Irlanti",
F|Open|SBD|Multi-ply|56|SBD,602.5,Marianne Kosonen,21.9.2019,"Limerick, Irlanti",
F|Open|SBD|Multi-ply|67.5|D,200,Anna-Maija Kosonen,25.5.2019,Savonlinna,
F|Open|SBD|Multi-ply|SHW|B,132.5,Krisse Tuominen,1.12.2019,Tampere,
M|M45-49|SBD|Multi-ply|110|D,235,Velimatti Karhu,25.5.2019,Savonlinna,
M|Open|B|Raw|60|B,107.5,Totte Salmi,24.8.2019,Helsinki,
M|Open|B|Raw|67.5|B,140,Leif Ojala,24.8.2019,Helsinki,
M|Open|B|Raw|100|B,245,Timo Heinonen,6.4.2019,Turku,
F|Open|B|Raw|82.5|B,147.5,Anna Khudayarov,16.3.2019,Turku,
M|T13-15|B|Raw|82.5|B,85,Otto Doering,16.3.2019,Turku,
M|T13-15|B|Raw|90|B,57.5,Jesse Ilvonen,1.12.2019,Tampere,12v
F|T13-15|B|Raw|75|B,40,Ada Ritamäki,23.8.2019,Helsinki,
M|T16-17|B|Raw|75|B,75,Hans Hakala,16.3.2019,Turku,
M|J20-23|B|Raw|125|B,225,Jyri Nieminen,16.3.2019,Turku,
M|M40-44|B|Raw|125|B,225,Petteri Hosio,27.10.2019,Nove Zamky,
F|M40-44|B|Raw|SHW|B,122.5,Päivi Kaarto,23.8.2019,Helsinki,
F|M45-49|B|Raw|90|B,115,Mia Vepsäläinen,1.12.2019,Tampere,
M|M50-54|B|Raw|67.5|B,140,Leif Ojala,24.8.2019,Helsinki,
M|M50-54|B|Raw|125|B,203,Raimo Hiisiö,24.8.2019,Helsinki,
F|M50-54|B|Raw|67.5|B,95,Tuulikki Kare,23.8.2019,Helsinki,
M|Open|B|Multi-ply|140|B,390.5,Kalle Ylitalo-James,24.8.2019,Helsinki,
F|Open|B|Multi-ply|52|B,155,Marianne Kosonen,25.5.2019,Savonlinna,
F|Open|B|Multi-ply|56|B,157.5,Marianne Kosonen,24.8.2019,Helsinki,
F|Open|B|Multi-ply|60|B,155,Marianne Kosonen,12.5.2019,"Birmingham, UK",
M|J20-23|B|Multi-ply|90|B,325,Jarkko Forss,22.9.2019,"Limerick, Irlanti",
M|M40-44|B|Multi-ply|110|B,325,Juha Märsylä,24.8.2019,Helsinki,
M|M40-44|B|Multi-ply|125|B,380,Petteri Hosio,19.11.2019,Lahti,
M|M45-49|B|Multi-ply|82.5|B,235,Rami Eerikäinen,24.8.2019,Helsinki,
M|Open|D|Raw|60|D,190,Totte Salmi,24.8.2019,Helsinki,
M|Open|D|Raw|110|D,361,Jani-Pekka Eirala,30.3.2019,Kauhajoki,
F|Open|D|Raw|48|D,125,Eveliina Lehto,31.3 2019,Kauhajoki,
F|Open|D|Raw|52|D,165,Taru Visuri,23.8.2019,Helsinki,
F|Open|D|Raw|67.5|D,180,Johanna Rasmussen,24.8.2019,Helsinki,
F|Open|D|Raw|SHW|D,212.5,Päivi Kaarto,23.8.2019,Helsinki,
M|T13-15|D|Raw|75|D,165,Tomi Reijonen,24.8.2019,Helsinki,
M|T13-15|D|Raw|82.5|D,175,Otto Doering,24.8.2019,Helsinki,
F|T13-15|D|Raw|75|D,100,Ada Ritamäki,23.8.2019,Helsinki,
M|T16-17|D|Raw|100|D,222.5,Perttu Sirkkilä,13.10.2019,Turku,
M|J20-23|D|Raw|75|D,240,Jesse Ahvenkoski,1.12.2019,Tampere,
F|J20-23|D|Raw|56|D,140,Elisa Koikkalainen,23.8.2019,Helsinki,
F|J20-23|D|Raw|60|D,150,Elisa Koikkalainen,23.8.2019,Helsinki,
M|M40-44|D|Raw|75|D,240,Vesa Järveläinen,24.8.2019,Helsinki,
F|M40-44|D|Raw|SHW|D,212.5,Päivi Kaarto,23.8.2019,Helsinki,
M|M45-49|D|Raw|90|D,260,Mikko Mäntymäki,24.8.2019,Helsinki,
M|M45-49|D|Raw|100|D,285,Markus Koivuniemi,24.8.2019,Helsinki,
M|M45-49|D|Raw|110|D,290,Marko Kokkinen,31.3.2019,Kauhajoki,
M|M45-49|D|Raw|125|D,290,Harri Pykälämäki,24.8.2019,Helsinki,
F|M50-54|D|Raw|56|D,107.5,Minna Paler,23.8.2019,Helsinki,
F|M50-54|D|Raw|90|D,230,Virpi Knuutila,1.12.2019,Tampere,
M|M60-64|D|Raw|110|D,312.5,Olavi Rintanen,24.8.2019,Helsinki,
F|M60-64|D|Raw|75|D,162,Maiju Hilander,12.1.2019,Ylöjärvi,
M|M80+|D|Raw|82.5|D,60,Pentti Piri,24.8.2019,Helsinki,92v
M|Open|D|Multi-ply|90|D,370,Kalle Räsänen,24.8.2019,Helsinki,
M|Open|D|Multi-ply|125|D,345,Dennis Riihimäki,30.3.2019,Kauhajoki,
F|Open|D|Multi-ply|52|D,210,Marianne Kosonen,25.5.2019,Savonlinna,
F|Open|D|Multi-ply|56|D,212.5,Marianne Kosonen,22.9.2019,"Limerick, Irlanti",
F|Open|D|Multi-ply|67.5|D,205,Anna-Maija Kosonen,24.8.2019,Helsinki,
F|Open|D|Multi-ply|75|D,210,Anni Vuorio,25.5.2019,Savonlinna,
M|M40-44|D|Multi-ply|100|D,310,Petri Hietamäki,12.2019,Tampere,
M|M45-49|D|Multi-ply|82.5|D,280,Rami Eerikäinen,24.8.2019,Helsinki,
M|J20-23|SBD|Wraps|100|SBD,762.5,Joona Leppäjärvi,27.4.2019,Paimio,
