M|Open|SBD|Wraps|140|SBD,955,Topias Cunningham,13.8.2022,Dublin,
F|Open|SBD|Raw|67.5|B,102.5,Tuulikki Kare,14.8.2022,Dublin,
F|M50-54|SBD|Raw|67.5|B,102.5,Tuulikki Kare,14.8.2022,Dublin,
