M|Open|SBD|Wraps|75|S,285,Joni Orpana,3.5.2020,Tampere,
M|Open|SBD|Wraps|75|SBD,687.5,Joni Orpana,3.5.2020,Tampere,
F|Open|SBD|Wraps|90|S,262.5,Anna Khudayarov,5.12.2020,Tampere,
F|Open|SBD|Wraps|90|SBD,647.5,Anna Khudayarov,5.12.2020,Tampere,
M|T13-15|SBD|Wraps|60|S,120,Axel Virtanen,19.9.2020,Turku,
M|T13-15|SBD|Wraps|60|SBD,300,Axel Virtanen,19.9.2020,Turku,
M|T13-15|SBD|Wraps|90|S,155,Otto Doering,22.2.2020,Laitila,
M|T13-15|SBD|Wraps|90|SBD,457.5,Tuomo Somppi,22.2.2020,Laitila,
F|T13-15|SBD|Wraps|75|S,80,Sofia Valkama,19.9.2020,Turku,
F|T13-15|SBD|Wraps|75|SBD,267.5,Sofia Valkama,19.9.2020,Turku,
M|T16-17|SBD|Wraps|75|S,185,Nuutti Hartikainen,5.12.2020,Tampere,
M|T16-17|SBD|Wraps|75|SBD,490,Nuutti Hartikainen,5.12.2020,Tampere,
M|T16-17|SBD|Wraps|110|S,240,Perttu Sirkkilä,19.9.2020,Turku,
M|T16-17|SBD|Wraps|110|SBD,650,Perttu Sirkkilä,19.9.2020,Turku,
M|T18-19|SBD|Wraps|67.5|S,130,Artturi Kiuru,19.9.2020,Turku,
M|T18-19|SBD|Wraps|67.5|SBD,400,Artturi Kiuru,19.9.2020,Turku,
F|J20-23|SBD|Wraps|60|SBD,350,Emmi Räsänen,18.7.2020,Porvoo,
F|M40-44|SBD|Wraps|67.5|S,180,Camilla Rauhala,3.5.2020,Tampere,
F|M40-44|SBD|Wraps|67.5|SBD,447,Camilla Rauhala,3.5.2020,Tampere,
M|M45-49|SBD|Wraps|90|S,240,Jan Lindqvist,19.9.2020,Turku,
M|M45-49|SBD|Wraps|90|SBD,682.5,Jan Lindqvist,19.9.2020,Turku,
M|M45-49|SBD|Wraps|110|S,300,Pasi Alajoki,1.8.2020,Kokkola,
F|M45-49|SBD|Wraps|56|S,155,Petra Hiisiö,5.12.2020,Tampere,
F|M45-49|SBD|Wraps|56|SBD,395,Petra Hiisiö,5.12.2020,Tampere,
F|M50-54|SBD|Wraps|67.5|S,167.5,Tuulikki Kare,3.5.2020,Tampere,
