F|M40-44-D|B|Raw|75|B,82.5,Elisa Hyytinen,9.-15.6.2024,Salo,
F|M40-44-D|D|Raw|75|D,147.5,Elisa Hyytinen,9.-15.6.2024,Salo,
F|Open-D|D|Raw|75|D,147.5,Elisa Hyytinen,9.-15.6.2024,Salo,
F|J20-23-D|SBD|Wraps|82.5|S,175,Elli Peromaa,9.-15.6.2024,Salo,
F|J20-23-D|SBD|Raw|82.5|B,92.5,Elli Peromaa,9.-15.6.2024,Salo,
F|J20-23-D|SBD|Raw|82.5|D,165,Elli Peromaa,9.-15.6.2024,Salo,
F|J20-23-D|SBD|Wraps|82.5|SBD,432.5,Elli Peromaa,9.-15.6.2024,Salo,
F|Open-D|SBD|Wraps|82.5|S,175,Elli Peromaa,9.-15.6.2024,Salo,
F|Open-D|SBD|Raw|82.5|B,92.5,Elli Peromaa,9.-15.6.2024,Salo,
F|Open-D|SBD|Raw|82.5|D,165,Elli Peromaa,9.-15.6.2024,Salo,
F|Open-D|SBD|Wraps|82.5|SBD,432.5,Elli Peromaa,9.-15.6.2024,Salo,
M|Open-D|SBD|Wraps|67.5|S,238,Elmeri Töyry,9.-15.6.2024,Salo,
M|Open-D|SBD|Raw|67.5|B,122.5,Elmeri Töyry,9.-15.6.2024,Salo,
M|Open-D|SBD|Raw|67.5|D,245.5,Elmeri Töyry,9.-15.6.2024,Salo,
M|Open-D|SBD|Wraps|67.5|SBD,605,Elmeri Töyry,9.-15.6.2024,Salo,
F|Open-D|SBD|Raw|82.5|B,110,Essi Jäntti,9.-15.6.2024,Salo,
F|Open-D|SBD|Raw|82.5|D,195,Essi Jäntti,9.-15.6.2024,Salo,
F|Open-D|SBD|Wraps|82.5|SBD,472.5,Essi Jäntti,9.-15.6.2024,Salo,
F|Open-D|D|Raw|56|D,120,Katja Jäppinen,9.-15.6.2024,Salo,
M|M80+-D|D|Raw|82.5|D,140,Kauko Viitala,9.-15.6.2024,Salo,
F|J20-23-D|SBD|Raw|60|D,140,Linne Laukka,9.-15.6.2024,Salo,
F|J20-23-D|SBD|Wraps|60|SBD,307.5,Linne Laukka,9.-15.6.2024,Salo,
F|Open-D|SBD|Raw|60|D,140,Linne Laukka,9.-15.6.2024,Salo,
M|T16-17-D|SBD|Raw|110|B,145,Noel Henriksson,9.-15.6.2024,Salo,
M|T16-17-D|SBD|Raw|110|D,260,Noel Henriksson,9.-15.6.2024,Salo,
M|T16-17-D|SBD|Bare|110|SBD,625,Noel Henriksson,9.-15.6.2024,Salo,
M|T13-15-D|SBD|Raw|56|D,150,Osku Laitinen,9.-15.6.2024,Salo,
M|Open-D|SBD|Raw|56|D,150,Osku Laitinen,9.-15.6.2024,Salo,
F|M65-69-D|SBD|Raw|60|D,107.5,Pihla-Terttu Oksanen,9.-15.6.2024,Salo,
F|M65-69-D|SBD|Wraps|60|SBD,202.5,Pihla-Terttu Oksanen,9.-15.6.2024,Salo,
M|M70-74-D|SBD|Wraps|100|S,172.5,Raimo Lehtimäki,9.-15.6.2024,Salo,
M|M70-74-D|SBD|Raw|100|D,207.5,Raimo Lehtimäki,9.-15.6.2024,Salo,
M|M70-74-D|SBD|Wraps|100|SBD,462.5,Raimo Lehtimäki,9.-15.6.2024,Salo,
M|M45-49-D|D|Raw|82.5|D,230.5,Timo Saarela,9.-15.6.2024,Salo,
M|Open-D|D|Raw|82.5|D,230.5,Timo Saarela,9.-15.6.2024,Salo,
M|M40-44-D|SBD|Raw|90|D,250,Tommi Läntinen,9.-15.6.2024,Salo,
M|Open-D|SBD|Raw|90|D,250,Tommi Läntinen,9.-15.6.2024,Salo,
F|Open-D|SBD|Wraps|67.5|S,167.5,Vilhelmiina Sillanpää,9.-15.6.2024,Salo,
F|Open-D|SBD|Raw|67.5|B,80,Vilhelmiina Sillanpää,9.-15.6.2024,Salo,
F|Open-D|SBD|Raw|67.5|D,165,Vilhelmiina Sillanpää,9.-15.6.2024,Salo,
F|Open-D|SBD|Wraps|67.5|SBD,412.5,Vilhelmiina Sillanpää,9.-15.6.2024,Salo,
F|Open-D|SBD|Single-ply|67.5|S,215.5,Vilhelmiina Sillanpää,9.-15.6.2024,Salo,
F|Open-D|SBD|Single-ply|67.5|B,105,Vilhelmiina Sillanpää,9.-15.6.2024,Salo,
F|Open-D|SBD|Single-ply|67.5|D,167.5,Vilhelmiina Sillanpää,9.-15.6.2024,Salo,
F|Open-D|SBD|Single-ply|67.5|SBD,482.5,Vilhelmiina Sillanpää,9.-15.6.2024,Salo,
M|Open-D|D|Raw|75|D,295,Ville Lintunen,9.-15.6.2024,Salo,
F|T13-15|SBD|Bare|67.5|S,93,Oona Kuusisto,9.-15.6.2024,Salo,
F|T13-15|SBD|Raw|67.5|D,120,Oona Kuusisto,9.-15.6.2024,Salo,
F|T13-15|SBD|Bare|67.5|SBD,257.5,Oona Kuusisto,9.-15.6.2024,Salo,
M|M70-74|SBD|Wraps|100|S,190,Jukka Lindström,9.-15.6.2024,Salo,
M|M50-54|SBD|Wraps|90|S,280,Ari Kortetjärvi,9.-15.6.2024,Salo,
M|M50-54|SBD|Wraps|90|SBD,710,Ari Kortetjärvi,9.-15.6.2024,Salo,
M|M50-54|SBD|Wraps|140|S,331,Petri Lindholm,9.-15.6.2024,Salo,
M|M50-54|SBD|Raw|140|D,300,Petri Lindholm,9.-15.6.2024,Salo,
M|M50-54|SBD|Wraps|140|SBD,815,Petri Lindholm,9.-15.6.2024,Salo,
M|J20-23|SBD|Wraps|125|S,360,Anthony Singh,9.-15.6.2024,Salo,
M|M50-54|D|Single-ply|100|D,280,Ismo Koivisto,9.-15.6.2024,Salo,
F|Open|D|Multi-ply|60|D,205,Eija Pesonen,9.-15.6.2024,Salo,
M|T13-15|SBD|Single-ply|56|S,135,Miika Pesonen,9.-15.6.2024,Salo,
M|T13-15|SBD|Single-ply|56|B,55.5,Miika Pesonen,9.-15.6.2024,Salo,
M|T13-15|SBD|Single-ply|56|D,160,Miika Pesonen,9.-15.6.2024,Salo,
M|T13-15|SBD|Single-ply|56|SBD,350,Miika Pesonen,9.-15.6.2024,Salo,
F|Open|SBD|Single-ply|67.5|S,215.5,Vilhelmiina Sillanpää,9.-15.6.2024,Salo,
F|Open|B|Raw|56|B,118,Johanna Bies,9.-15.6.2024,Salo,
F|M50-54|B|Raw|56|B,118,Johanna Bies,9.-15.6.2024,Salo,
M|M40-44|SBD|Single-ply|140|D,245,Janne Peltoniemi,9.-15.6.2024,Salo,
M|M50-54|B|Multi-ply|75|B,190,Toni Haaparanta,9.-15.6.2024,Salo,
M|M50-54|D|Multi-ply|75|D,220,Toni Haaparanta,9.-15.6.2024,Salo,
M|M55-59|B|Single-ply|100|B,190,Marcus Young,9.-15.6.2024,Salo,
M|M55-59|B|Multi-ply|100|B,192.5,Marcus Young,9.-15.6.2024,Salo,
M|M70-74|B|Multi-ply|110|B,195,Tapio Laine,9.-15.6.2024,Salo,
F|J20-23|D|Raw|48|D,117.5,Nerina Olander,9.-15.6.2024,Salo,
F|M45-49|D|Raw|82.5|D,250,Petra Blomvall,9.-15.6.2024,Salo,
F|Open|D|Raw|82.5|D,250,Petra Blomvall,9.-15.6.2024,Salo,
F|T16-17|D|Raw|48|D,105,Kiia Ihanmäki,9.-15.6.2024,Salo,
M|M40-44|B|Raw|67.5|B,148,Petri Mäkelä,9.-15.6.2024,Salo,
M|M40-44|D|Raw|75|D,292.5,Sami Vaskelainen,9.-15.6.2024,Salo,
M|M80+|D|Raw|56|D,101,Matti Oksanen,9.-15.6.2024,Salo,
M|M50-54|D|Raw|100|D,292.5,Marko Kokkinen,9.-15.6.2024,Salo,
M|M55-59|B|Raw|82.5|B,142.5,Ari-Pekka Airaksinen,9.-15.6.2024,Salo,
M|M55-59|SBD|Bare|110|S,225.5,Juha Järvisalo,9.-15.6.2024,Salo,
M|M55-59|SBD|Bare|110|SBD,602.5,Juha Järvisalo,9.-15.6.2024,Salo,
M|M40-44|B|Raw|125|B,242.5,Hannu Koskinen,9.-15.6.2024,Salo,
M|M40-44|SBD|Wraps|100|SBD,727.5,Tero Pitkänen,9.-15.6.2024,Salo,
