F|Open-D|SBD|Wraps|67.5|S,176,Vilhelmiina Sillanpää,02.03.2025,Lieto,
F|Open-D|SBD|Raw|67.5|B,85,Vilhelmiina Sillanpää,02.03.2025,Lieto,
F|Open-D|SBD|Raw|67.5|D,180.5,Vilhelmiina Sillanpää,02.03.2025,Lieto,
F|Open-D|SBD|Wraps|67.5|SBD,430,Vilhelmiina Sillanpää,02.03.2025,Lieto,
F|Open-D|SBD|Raw|82.5|B,117.5,Essi Jäntti,02.03.2025,Lieto,
M|Open|SBD|Sleeves|110|S,350,Hannu Österman,02.03.2025,Lieto,
M|Open|SBD|Wraps|100|S,380,Eetu Sieppi,02.03.2025,Lieto,
M|Open|SBD|Wraps|140|S,425,Topias Cunningham,02.03.2025,Lieto,
M|Open|SBD|Wraps|140|SBD,1020,Topias Cunningham,02.03.2025,Lieto,
