M|Open|SBD|Multi-ply|100|D,352.5,Juha Someroja,19.3.2005,Tampere,
M|Open|SBD|Multi-ply|SHW|D,370,Niko Lääperi,19.3.2005,Tampere,
F|Open|SBD|Multi-ply|90|B,175,Tarja Rantanen,2.11.2005,Helsinki,
M|J20-23|SBD|Multi-ply|110|SBD,955,Lasse Pajunoja,19.3.2005,Tampere,
M|J20-23|SBD|Multi-ply|125|B,320,Jonas Rantanen,4.11.2005,Helsinki,
M|J20-23|SBD|Multi-ply|140|B,330,Jani Murtomäki,11.06.2005,Turku,
M|M40-44|SBD|Multi-ply|75|B,195,Sakari Selkäinaho,6.11.2005,Helsinki,
M|M40-44|SBD|Multi-ply|75|D,265,Sakari Selkäinaho,6.11.2005,Helsinki,
M|M40-44|SBD|Multi-ply|75|SBD,775,Sakari Selkäinaho,6.11.2005,Helsinki,
M|M40-44|SBD|Multi-ply|SHW|D,302.5,Kari Kalliola,7.11.2005,Helsinki,
F|M45-49|SBD|Multi-ply|90|B,175,Tarja Rantanen,2.11.2005,Helsinki,
M|Open|B|Multi-ply|75|B,245,Janne Pöykiö,30.7.2005,Lempäälä,
F|Open|B|Multi-ply|90|B,175,Tarja Rantanen,5.12.2005,Helsinki,
F|Open|B|Multi-ply|SHW|B,172.5,Tarja Rantanen,5.3.2005,"Columbus, USA",
M|J20-23|B|Multi-ply|110|B,290,Lasse Pajunoja,5.12.2005,Helsinki,
F|M45-49|B|Multi-ply|90|B,175,Tarja Rantanen,5.12.2005,Helsinki,
F|M45-49|B|Multi-ply|SHW|B,172.5,Tarja Rantanen,5.3.2005,"Columbus, Ohio",
