F|Open|SBD|Wraps|75|S,236,Hanna Luukkonen,3.12.2022,Tampere,
F|Open|SBD|Wraps|75|SBD,607.5,Hanna Luukkonen,3.12.2022,Tampere,
M|J20-23|SBD|Wraps|82.5|S,280.5,Emil Karjalainen,3.12.2022,Tampere,
F|J20-23|SBD|Wraps|75|S,236,Hanna Luukkonen,3.12.2022,Tampere,
F|J20-23|SBD|Wraps|75|SBD,607.5,Hanna Luukkonen,3.12.2022,Tampere,
M|M40-44|SBD|Wraps|140|S,340,Mikko Hautamäki,3.12.2022,Tampere,
M|M40-44|SBD|Wraps|140|SBD,815,Mikko Hautamäki,3.12.2022,Tampere,
M|Open|SBD|Sleeves|SHW|S,310,Sami Läpikivi,3.12.2022,Tampere,
M|Open|SBD|Sleeves|SHW|SBD,810,Sami Läpikivi,3.12.2022,Tampere,
F|Open|SBD|Sleeves|75|S,178,Emma Lahti,3.12.2022,Tampere,
F|Open|SBD|Raw|75|B,130,Hanna Luukkonen,3.12.2022,Tampere,
F|Open|SBD|Raw|75|D,241.5,Hanna Luukkonen,3.12.2022,Tampere,
F|Open|SBD|Sleeves|75|SBD,498,Emma Lahti,3.12.2022,Tampere,
M|T18-19|SBD|Sleeves|125|S,265,Julius Korpela,3.12.2022,Tampere,
M|T18-19|SBD|Sleeves|125|SBD,705,Julius Korpela,3.12.2022,Tampere,
M|J20-23|SBD|Sleeves|75|S,177.5,Reko Sivonen,3.12.2022,Tampere,
M|J20-23|SBD|Sleeves|90|S,210,Ville Saranpää,3.12.2022,Tampere,
M|J20-23|SBD|Sleeves|90|SBD,567.5,Ville Saranpää,3.12.2022,Tampere,
M|J20-23|SBD|Sleeves|110|S,200,Aaro Mäki-Jouppila,3.12.2022,Tampere,
M|J20-23|SBD|Sleeves|110|SBD,555,Aaro Mäki-Jouppila,3.12.2022,Tampere,
F|J20-23|SBD|Raw|75|B,130,Hanna Luukkonen,3.12.2022,Tampere,
F|J20-23|SBD|Raw|75|D,241.5,Hanna Luukkonen,3.12.2022,Tampere,
M|M40-44|SBD|Sleeves|110|S,275,Jarkko Mihailov,3.12.2022,Tampere,
M|M40-44|SBD|Sleeves|110|SBD,735,Jarkko Mihailov,3.12.2022,Tampere,
M|M40-44|SBD|Raw|140|D,325,Mikko Hautamäki,3.12.2022,Tampere,
F|M40-44|SBD|Sleeves|75|S,121,Sari Mihailov,3.12.2022,Tampere,
F|M40-44|SBD|Sleeves|75|SBD,343.5,Sari Mihailov,3.12.2022,Tampere,
M|M45-49|SBD|Raw|100|D,235.5,Jorma Mäkeläinen,3.12.2022,Tampere,
F|M55-59|B|Raw|67.5|B,95,Virpi Pukkila,3.12.2022,Tampere,
M|Open|D|Raw|75|D,277.5,Jukka-Pekka Kytölä,3.12.2022,Tampere,
F|Open|D|Raw|90|D,255,Petra Blomvall,3.12.2022,Tampere,
M|M40-44|D|Raw|110|D,320,Jussi Valkama,3.12.2022,Tampere,
F|M40-44|D|Raw|90|D,255,Petra Blomvall,3.12.2022,Tampere,
M|M55-59|D|Raw|110|D,240,Billy Haavisto,3.12.2022,Tampere,
M|M60-64|D|Raw|100|D,255,Juhani Kärkkäinen,3.12.2022,Tampere,
M|M45-49|D|Multi-ply|110|D,300,Jukka Hakala,3.12.2022,Turku,
