M|M40-44|SBD|Multi-ply|100|B,265,Pauli Rantanen,4.11.2006,Lake George,
M|M40-44|SBD|Multi-ply|100|D,335,Pauli Rantanen,4.11.2006,Lake George,
M|M40-44|SBD|Multi-ply|100|SBD,980,Pauli Rantanen,4.11.2006,Lake George,
F|M45-49|SBD|Multi-ply|SHW|S,190,Tarja Rantanen,2.11.2006,Lake George,
F|M45-49|SBD|Multi-ply|SHW|B,130,Tarja Rantanen,2.11.2006,Lake George,
F|M45-49|SBD|Multi-ply|SHW|D,180,Tarja Rantanen,2.11.2006,Lake George,
F|M45-49|SBD|Multi-ply|SHW|SBD,500,Tarja Rantanen,2.11.2006,Lake George,
M|Open|B|Multi-ply|67.5|B,180,Juhani Niskanen,11.6.2006,Juva,
M|J20-23|B|Multi-ply|67.5|B,180,Juhani Niskanen,11.6.2006,Juva,
M|J20-23|B|Multi-ply|75|B,200,Juhani Niskanen,5.11.2006,Helsinki,
M|J20-23|B|Multi-ply|100|B,265.5,Jarmo Kallio,11.6.2006,Juva,
